File,Formulas,Input Cells,Output Cells,AMOUNT of all  VBMdiags (size1),AMOUNT of all QDMdiags (size1),AMOUNT of all FDMdiags (size1),AMOUNT of all (minimal and not minimal) VBMdiags (size2),AMOUNT of all minimal QDMdiags (size2),AMOUNT of all minimal QDMdiags in all VBMdiags (size2),AMOUNT of all minimal FDMdiags (size2),AMOUNT of all minimal FDMdiags in all VBMdiags (size2),AMOUNT of all (minimal and not minimal) VBMdiags (size3),AMOUNT of all minimal QDMdiags (size3),AMOUNT of all minimal QDMdiags in all VBMdiags (size3),AMOUNT of all minimal FDMdiags (size3),AMOUNT of all minimal FDMdiags in all VBMdiags (size3),QDM: AMOUNT of all 2-supersets of 1-fault diagnosis,QDM: 2-supersets NOT in VBMdiags2,FDM: AMOUNT of all 2-supersets of 1-fault diagnosis,FDM: 2-supersets NOT in VBMdiags2,QDM: AMOUNT of all 3-supersets of 2-fault diagnosis,QDM: 3-supersets NOT in VBM diags3,FDM: AMOUNT of all 3-supersets of 2-fault diagnosis,FDM: 3-supersets NOT in VBM diags3,Column1
circuit10_10_3FAULTS_FAULTVERSION4.xlsx,33,243,3,0,10,10,14,63,2,63,2,365,3,0,3,0,275,263 (12 diagnoses from 275 are in VBMdiags2),275,263 (12 diagnoses from 275 are in VBMdiags2),4649,4284 (365 diagnoses from 4649 are in VBMdiags3),4649,4284 (365 diagnoses from 4649 are in VBMdiags3),
circuit10_10_3FAULTS_FAULTVERSION5.xlsx,32,244,2,0,20,20,3,11,1,11,1,88,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,430,428 (2 diagnoses from 430 are in VBMdiags2),430,428 (2 diagnoses from 430 are in VBMdiags2),4795,4707 (88 diagnoses from 4795 are in VBMdiags3),4795,4707 (88 diagnoses from 4795 are in VBMdiags3),
circuit10_15_1FAULTS_FAULTVERSION1.xlsx,33,343,3,1,10,10,68,10,0,10,0,1503,11,2,11,2,275,207 (68 diagnoses from 275 are in VBMdiags2),275,207 (68 diagnoses from 275 are in VBMdiags2),3850,2349 (1501 diagnoses from 3850 are in VBMdiags3),3850,2349 (1501 diagnoses from 3850 are in VBMdiags3),
circuit10_15_1FAULTS_FAULTVERSION2.xlsx,33,343,4,10,10,10,284,81,9,99,9,3838,108,0,18,0,275,0 (275 diagnoses from 275 are in VBMdiags2),275,0 (275 diagnoses from 275 are in VBMdiags2),4978,1140 (3838 diagnoses from 4978 are in VBMdiags3),5203,1365 (3838 diagnoses from 5203 are in VBMdiags3),
circuit10_15_1FAULTS_FAULTVERSION3.xlsx,33,343,3,1,1,1,32,126,0,234,0,496,207,0,0,- (no 3-fault minimal FDMdiags) -,32,0 (32 diagnoses from 32 are in VBMdiags2),32,0 (32 diagnoses from 32 are in VBMdiags2),2983,2487 (496 diagnoses from 2983 are in VBMdiags3),3685,3189 (496 diagnoses from 3685 are in VBMdiags3),
circuit10_15_1FAULTS_FAULTVERSION4.xlsx,33,343,3,10,10,10,275,10,0,10,0,3816,11,11,11,11,275,0 (275 diagnoses from 275 are in VBMdiags2),275,0 (275 diagnoses from 275 are in VBMdiags2),3850,45 (3805 diagnoses from 3850 are in VBMdiags3),3850,45 (3805 diagnoses from 3850 are in VBMdiags3),
circuit10_15_2FAULTS_FAULTVERSION3.xlsx,33,343,3,1,11,11,41,9,0,9,0,738,11,0,11,0,297,256 (41 diagnoses from 297 are in VBMdiags2),297,256 (41 diagnoses from 297 are in VBMdiags2),4060,3322 (738 diagnoses from 4060 are in VBMdiags3),4060,3322 (738 diagnoses from 4060 are in VBMdiags3),
circuit10_15_2FAULTS_FAULTVERSION4.xlsx,32,344,3,9,11,11,262,9,0,9,0,3647,10,10,10,10,286,24 (262 diagnoses from 286 are in VBMdiags2),286,24 (262 diagnoses from 286 are in VBMdiags2),3765,128 (3637 diagnoses from 3765 are in VBMdiags3),3765,128 (3637 diagnoses from 3765 are in VBMdiags3),
circuit10_15_2FAULTS_FAULTVERSION5.xlsx,33,343,3,10,10,10,295,65,20,65,20,4014,1,0,1,0,275,0 (275 diagnoses from 275 are in VBMdiags2),275,0 (275 diagnoses from 275 are in VBMdiags2),4674,660 (4014 diagnoses from 4674 are in VBMdiags3),4674,660 (4014 diagnoses from 4674 are in VBMdiags3),
circuit10_15_3FAULTS_FAULTVERSION1.xlsx,33,343,3,0,8,8,1,23,1,23,1,31,11,0,11,0,228,228 (0 diagnoses from 228 are in VBMdiags2),228,228 (0 diagnoses from 228 are in VBMdiags2),3553,3522 (31 diagnoses from 3553 are in VBMdiags3),3553,3522 (31 diagnoses from 3553 are in VBMdiags3),
circuit10_15_3FAULTS_FAULTVERSION2.xlsx,33,343,3,0,12,12,18,9,0,9,0,475,10,0,10,0,318,300 (18 diagnoses from 318 are in VBMdiags2),318,300 (18 diagnoses from 318 are in VBMdiags2),4261,3786 (475 diagnoses from 4261 are in VBMdiags3),4261,3786 (475 diagnoses from 4261 are in VBMdiags3),
circuit10_15_3FAULTS_FAULTVERSION3.xlsx,33,343,3,0,10,10,-,9,- (no 2-fault VBMdiags) -,9,- (no 2-fault VBMdiags) -,timeout,22,- (no 3-fault VBMdiags) timeout,22,- (no 3-fault VBMdiags) timeout,275,- (no 2-fault VBMdiags),275,- (no 2-fault VBMdiags),3838,- (no 3-fault VBMdiags),3838,- (no 3-fault VBMdiags),
circuit10_15_3FAULTS_FAULTVERSION4.xlsx,33,343,3,0,9,9,-,11,- (no 2-fault VBMdiags) -,11,- (no 2-fault VBMdiags) -,timeout,11,- (no 3-fault VBMdiags) timeout,11,- (no 3-fault VBMdiags) timeout,252,- (no 2-fault VBMdiags),252,- (no 2-fault VBMdiags),3619,- (no 3-fault VBMdiags),3619,- (no 3-fault VBMdiags),
circuit10_15_3FAULTS_FAULTVERSION5.xlsx,33,343,3,0,9,9,-,21,- (no 2-fault VBMdiags) -,21,- (no 2-fault VBMdiags) -,timeout,11,- (no 3-fault VBMdiags) timeout,11,- (no 3-fault VBMdiags) timeout,252,- (no 2-fault VBMdiags),252,- (no 2-fault VBMdiags),3784,- (no 3-fault VBMdiags),3784,- (no 3-fault VBMdiags),
circuit10_2_1FAULTS_FAULTVERSION1.xlsx,33,83,3,11,11,11,340,99,43,109,43,4579,110,0,0,- (no 3-fault minimal FDMdiags) -,297,0 (297 diagnoses from 297 are in VBMdiags2),297,0 (297 diagnoses from 297 are in VBMdiags2),5335,756 (4579 diagnoses from 5335 are in VBMdiags3),5445,866 (4579 diagnoses from 5445 are in VBMdiags3),
circuit10_2_1FAULTS_FAULTVERSION2.xlsx,33,83,3,11,11,11,316,100,19,110,19,4215,110,0,0,- (no 3-fault minimal FDMdiags) -,297,0 (297 diagnoses from 297 are in VBMdiags2),297,0 (297 diagnoses from 297 are in VBMdiags2),5346,1131 (4215 diagnoses from 5346 are in VBMdiags3),5456,1241 (4215 diagnoses from 5456 are in VBMdiags3),
circuit10_2_1FAULTS_FAULTVERSION3.xlsx,33,83,3,9,10,10,252,10,0,10,0,3563,11,11,11,11,275,23 (252 diagnoses from 275 are in VBMdiags2),275,23 (252 diagnoses from 275 are in VBMdiags2),3850,298 (3552 diagnoses from 3850 are in VBMdiags3),3850,298 (3552 diagnoses from 3850 are in VBMdiags3),
circuit10_2_1FAULTS_FAULTVERSION4.xlsx,33,83,3,9,11,11,261,9,0,9,0,3725,11,11,11,11,297,36 (261 diagnoses from 297 are in VBMdiags2),297,36 (261 diagnoses from 297 are in VBMdiags2),4060,346 (3714 diagnoses from 4060 are in VBMdiags3),4060,346 (3714 diagnoses from 4060 are in VBMdiags3),
circuit10_2_1FAULTS_FAULTVERSION5.xlsx,33,83,3,1,10,10,79,66,11,66,11,1701,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,275,207 (68 diagnoses from 275 are in VBMdiags2),275,207 (68 diagnoses from 275 are in VBMdiags2),4686,2985 (1701 diagnoses from 4686 are in VBMdiags3),4686,2985 (1701 diagnoses from 4686 are in VBMdiags3),
circuit10_2_2FAULTS_FAULTVERSION2.xlsx,33,83,3,11,11,11,323,99,26,109,26,4327,110,0,0,- (no 3-fault minimal FDMdiags) -,297,0 (297 diagnoses from 297 are in VBMdiags2),297,0 (297 diagnoses from 297 are in VBMdiags2),5335,1008 (4327 diagnoses from 5335 are in VBMdiags3),5445,1118 (4327 diagnoses from 5445 are in VBMdiags3),
circuit10_2_2FAULTS_FAULTVERSION3.xlsx,33,83,3,0,10,10,92,10,0,10,0,2096,11,0,11,0,275,183 (92 diagnoses from 275 are in VBMdiags2),275,183 (92 diagnoses from 275 are in VBMdiags2),3850,1754 (2096 diagnoses from 3850 are in VBMdiags3),3850,1754 (2096 diagnoses from 3850 are in VBMdiags3),
circuit10_2_2FAULTS_FAULTVERSION4.xlsx,33,83,3,0,10,10,110,10,0,10,0,2365,11,0,11,0,275,165 (110 diagnoses from 275 are in VBMdiags2),275,165 (110 diagnoses from 275 are in VBMdiags2),3850,1485 (2365 diagnoses from 3850 are in VBMdiags3),3850,1485 (2365 diagnoses from 3850 are in VBMdiags3),
circuit10_2_2FAULTS_FAULTVERSION5.xlsx,33,83,3,0,0,10,21,148,21,22,10,541,458,0,44,0,-,-,275,264 (11 diagnoses from 275 are in VBMdiags2),3204,2663 (541 diagnoses from 3204 are in VBMdiags3),4036,3495 (541 diagnoses from 4036 are in VBMdiags3),
circuit10_2_3FAULTS_FAULTVERSION1.xlsx,32,84,3,0,0,9,114,209,114,73,20,2331,198,0,12,0,-,-,243,149 (94 diagnoses from 243 are in VBMdiags2),4124,1793 (2331 diagnoses from 4124 are in VBMdiags3),4310,1979 (2331 diagnoses from 4310 are in VBMdiags3),
circuit10_2_3FAULTS_FAULTVERSION2.xlsx,33,83,3,2,10,10,94,63,3,63,3,1913,3,0,3,0,275,184 (91 diagnoses from 275 are in VBMdiags2),275,184 (91 diagnoses from 275 are in VBMdiags2),4649,2736 (1913 diagnoses from 4649 are in VBMdiags3),4649,2736 (1913 diagnoses from 4649 are in VBMdiags3),
circuit10_2_3FAULTS_FAULTVERSION3.xlsx,33,83,3,0,9,9,127,77,22,77,22,2642,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,252,147 (105 diagnoses from 252 are in VBMdiags2),252,147 (105 diagnoses from 252 are in VBMdiags2),4675,2033 (2642 diagnoses from 4675 are in VBMdiags3),4675,2033 (2642 diagnoses from 4675 are in VBMdiags3),
circuit10_2_3FAULTS_FAULTVERSION4.xlsx,33,83,3,0,0,9,10,155,10,11,10,265,110,0,11,0,-,-,252,252 (0 diagnoses from 252 are in VBMdiags2),3025,2760 (265 diagnoses from 3025 are in VBMdiags3),3619,3354 (265 diagnoses from 3619 are in VBMdiags3),
circuit10_2_3FAULTS_FAULTVERSION5.xlsx,32,84,3,0,9,9,14,74,2,74,2,351,10,0,10,0,243,231 (12 diagnoses from 243 are in VBMdiags2),243,231 (12 diagnoses from 243 are in VBMdiags2),4322,3971 (351 diagnoses from 4322 are in VBMdiags3),4322,3971 (351 diagnoses from 4322 are in VBMdiags3),
circuit15_10_1FAULTS_FAULTVERSION2.xlsx,48,358,3,16,16,16,661,225,29,239,29,13010,239,0,15,0,632,0 (632 diagnoses from 632 are in VBMdiags2),632,0 (632 diagnoses from 632 are in VBMdiags2),17056,4046 (13010 diagnoses from 17056 are in VBMdiags3),17280,4270 (13010 diagnoses from 17280 are in VBMdiags3),
circuit15_10_1FAULTS_FAULTVERSION3.xlsx,48,358,3,14,17,17,596,14,0,14,0,12312,15,15,15,15,663,67 (596 diagnoses from 663 are in VBMdiags2),663,67 (596 diagnoses from 663 are in VBMdiags2),13116,819 (12297 diagnoses from 13116 are in VBMdiags3),13116,819 (12297 diagnoses from 13116 are in VBMdiags3),
circuit15_10_1FAULTS_FAULTVERSION4.xlsx,48,358,3,2,16,16,108,225,15,240,15,2685,240,0,0,- (no 3-fault minimal FDMdiags) -,632,539 (93 diagnoses from 632 are in VBMdiags2),632,539 (93 diagnoses from 632 are in VBMdiags2),17056,14371 (2685 diagnoses from 17056 are in VBMdiags3),17296,14611 (2685 diagnoses from 17296 are in VBMdiags3),
circuit15_10_1FAULTS_FAULTVERSION5.xlsx,48,358,3,15,15,15,630,135,30,135,30,12559,1,0,1,0,600,0 (600 diagnoses from 600 are in VBMdiags2),600,0 (600 diagnoses from 600 are in VBMdiags2),14799,2240 (12559 diagnoses from 14799 are in VBMdiags3),14799,2240 (12559 diagnoses from 14799 are in VBMdiags3),
circuit15_10_2FAULTS_FAULTVERSION1.xlsx,48,358,3,0,14,14,timeout,31,- (no 2-fault VBMdiags) timeout,31,- (no 2-fault VBMdiags) timeout,timeout,16,- (no 3-fault VBMdiags) timeout,16,- (no 3-fault VBMdiags) timeout,567,- (no 2-fault VBMdiags),567,- (no 2-fault VBMdiags),12064,- (no 3-fault VBMdiags),12064,- (no 3-fault VBMdiags),
circuit15_10_2FAULTS_FAULTVERSION2.xlsx,47,359,3,15,15,15,651,222,66,236,66,12780,237,0,13,0,585,0 (585 diagnoses from 585 are in VBMdiags2),585,0 (585 diagnoses from 585 are in VBMdiags2),15926,3146 (12780 diagnoses from 15926 are in VBMdiags3),16150,3370 (12780 diagnoses from 16150 are in VBMdiags3),
circuit15_10_2FAULTS_FAULTVERSION3.xlsx,47,359,3,14,15,15,614,222,61,236,61,12236,237,0,13,0,585,32 (553 diagnoses from 585 are in VBMdiags2),585,32 (553 diagnoses from 585 are in VBMdiags2),15926,3690 (12236 diagnoses from 15926 are in VBMdiags3),16150,3914 (12236 diagnoses from 16150 are in VBMdiags3),
circuit15_10_2FAULTS_FAULTVERSION4.xlsx,48,358,3,1,15,15,62,135,2,135,2,1677,1,0,1,0,600,540 (60 diagnoses from 600 are in VBMdiags2),600,540 (60 diagnoses from 600 are in VBMdiags2),14799,13122 (1677 diagnoses from 14799 are in VBMdiags3),14799,13122 (1677 diagnoses from 14799 are in VBMdiags3),
circuit15_10_2FAULTS_FAULTVERSION5.xlsx,48,358,3,1,16,16,48,225,0,240,0,1126,240,0,0,- (no 3-fault minimal FDMdiags) -,632,584 (48 diagnoses from 632 are in VBMdiags2),632,584 (48 diagnoses from 632 are in VBMdiags2),17056,15930 (1126 diagnoses from 17056 are in VBMdiags3),17296,16170 (1126 diagnoses from 17296 are in VBMdiags3),
circuit15_10_3FAULTS_FAULTVERSION1.xlsx,47,359,3,0,13,13,20,151,2,151,2,758,2,0,2,0,520,502 (18 diagnoses from 520 are in VBMdiags2),520,502 (18 diagnoses from 520 are in VBMdiags2),13701,12943 (758 diagnoses from 13701 are in VBMdiags3),13701,12943 (758 diagnoses from 13701 are in VBMdiags3),
circuit15_10_3FAULTS_FAULTVERSION2.xlsx,48,358,3,0,0,15,32,481,32,135,2,1216,464,0,1,0,-,-,600,570 (30 diagnoses from 600 are in VBMdiags2),14336,13120 (1216 diagnoses from 14336 are in VBMdiags3),14799,13583 (1216 diagnoses from 14799 are in VBMdiags3),
circuit15_10_3FAULTS_FAULTVERSION3.xlsx,48,358,3,0,14,14,-,31,- (no 2-fault VBMdiags) -,31,- (no 2-fault VBMdiags) -,timeout,16,- (no 3-fault VBMdiags) timeout,16,- (no 3-fault VBMdiags) timeout,567,- (no 2-fault VBMdiags),567,- (no 2-fault VBMdiags),12064,- (no 3-fault VBMdiags),12064,- (no 3-fault VBMdiags),
circuit15_10_3FAULTS_FAULTVERSION5.xlsx,47,359,3,1,14,14,127,130,3,130,3,4024,6,0,6,0,553,429 (124 diagnoses from 553 are in VBMdiags2),553,429 (124 diagnoses from 553 are in VBMdiags2),13629,9605 (4024 diagnoses from 13629 are in VBMdiags3),13629,9605 (4024 diagnoses from 13629 are in VBMdiags3),
circuit15_2_1FAULTS_FAULTVERSION1.xlsx,48,118,3,15,15,15,643,136,43,136,43,12871,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,600,0 (600 diagnoses from 600 are in VBMdiags2),600,0 (600 diagnoses from 600 are in VBMdiags2),14816,1945 (12871 diagnoses from 14816 are in VBMdiags3),14816,1945 (12871 diagnoses from 14816 are in VBMdiags3),
circuit15_2_1FAULTS_FAULTVERSION2.xlsx,48,118,3,16,16,16,697,224,65,239,65,13844,240,0,0,- (no 3-fault minimal FDMdiags) -,632,0 (632 diagnoses from 632 are in VBMdiags2),632,0 (632 diagnoses from 632 are in VBMdiags2),17040,3196 (13844 diagnoses from 17040 are in VBMdiags3),17280,3436 (13844 diagnoses from 17280 are in VBMdiags3),
circuit15_2_1FAULTS_FAULTVERSION3.xlsx,48,118,3,15,15,15,600,15,0,15,0,12111,16,16,16,16,600,0 (600 diagnoses from 600 are in VBMdiags2),600,0 (600 diagnoses from 600 are in VBMdiags2),12200,105 (12095 diagnoses from 12200 are in VBMdiags3),12200,105 (12095 diagnoses from 12200 are in VBMdiags3),
circuit15_2_1FAULTS_FAULTVERSION4.xlsx,48,118,3,15,15,15,616,136,16,136,16,12216,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,600,0 (600 diagnoses from 600 are in VBMdiags2),600,0 (600 diagnoses from 600 are in VBMdiags2),14816,2600 (12216 diagnoses from 14816 are in VBMdiags3),14816,2600 (12216 diagnoses from 14816 are in VBMdiags3),
circuit15_2_1FAULTS_FAULTVERSION5.xlsx,48,118,3,14,16,16,610,134,28,134,28,12385,1,0,1,0,632,50 (582 diagnoses from 632 are in VBMdiags2),632,50 (582 diagnoses from 632 are in VBMdiags2),15145,2760 (12385 diagnoses from 15145 are in VBMdiags3),15145,2760 (12385 diagnoses from 15145 are in VBMdiags3),
circuit15_2_2FAULTS_FAULTVERSION2.xlsx,48,118,3,0,0,14,269,465,269,136,17,8220,463,0,1,0,-,-,567,315 (252 diagnoses from 567 are in VBMdiags2),13960,5740 (8220 diagnoses from 13960 are in VBMdiags3),14422,6202 (8220 diagnoses from 14422 are in VBMdiags3),
circuit15_2_2FAULTS_FAULTVERSION3.xlsx,48,118,3,0,14,14,24,151,3,151,3,921,2,0,2,0,567,546 (21 diagnoses from 567 are in VBMdiags2),567,546 (21 diagnoses from 567 are in VBMdiags2),14782,13861 (921 diagnoses from 14782 are in VBMdiags3),14782,13861 (921 diagnoses from 14782 are in VBMdiags3),
circuit15_2_2FAULTS_FAULTVERSION4.xlsx,48,118,3,0,14,14,1,16,1,16,1,46,16,0,16,0,567,567 (0 diagnoses from 567 are in VBMdiags2),567,567 (0 diagnoses from 567 are in VBMdiags2),11704,11658 (46 diagnoses from 11704 are in VBMdiags3),11704,11658 (46 diagnoses from 11704 are in VBMdiags3),
circuit15_2_2FAULTS_FAULTVERSION5.xlsx,48,118,3,2,16,16,184,225,0,239,0,5392,239,0,15,0,632,448 (184 diagnoses from 632 are in VBMdiags2),632,448 (184 diagnoses from 632 are in VBMdiags2),17056,11664 (5392 diagnoses from 17056 are in VBMdiags3),17280,11888 (5392 diagnoses from 17280 are in VBMdiags3),
circuit15_2_3FAULTS_FAULTVERSION1.xlsx,48,118,3,0,14,14,295,151,32,151,32,8833,2,0,2,0,567,304 (263 diagnoses from 567 are in VBMdiags2),567,304 (263 diagnoses from 567 are in VBMdiags2),14782,5949 (8833 diagnoses from 14782 are in VBMdiags3),14782,5949 (8833 diagnoses from 14782 are in VBMdiags3),
circuit15_2_3FAULTS_FAULTVERSION2.xlsx,48,118,3,16,16,16,711,224,79,237,79,14147,238,0,30,0,632,0 (632 diagnoses from 632 are in VBMdiags2),632,0 (632 diagnoses from 632 are in VBMdiags2),17040,2893 (14147 diagnoses from 17040 are in VBMdiags3),17248,3101 (14147 diagnoses from 17248 are in VBMdiags3),
circuit15_2_3FAULTS_FAULTVERSION3.xlsx,48,118,3,0,15,15,-,14,- (no 2-fault VBMdiags) -,14,- (no 2-fault VBMdiags) -,timeout,32,- (no 3-fault VBMdiags) timeout,32,- (no 3-fault VBMdiags) timeout,600,- (no 2-fault VBMdiags),600,- (no 2-fault VBMdiags),12183,- (no 3-fault VBMdiags),12183,- (no 3-fault VBMdiags),
circuit15_20_1FAULTS_FAULTVERSION1.xlsx,48,658,3,14,16,16,611,134,29,134,29,12404,1,0,1,0,632,50 (582 diagnoses from 632 are in VBMdiags2),632,50 (582 diagnoses from 632 are in VBMdiags2),15145,2741 (12404 diagnoses from 15145 are in VBMdiags3),15145,2741 (12404 diagnoses from 15145 are in VBMdiags3),
circuit15_20_1FAULTS_FAULTVERSION2.xlsx,48,658,3,15,17,17,629,14,0,14,0,12814,15,15,15,15,663,34 (629 diagnoses from 663 are in VBMdiags2),663,34 (629 diagnoses from 663 are in VBMdiags2),13116,317 (12799 diagnoses from 13116 are in VBMdiags3),13116,317 (12799 diagnoses from 13116 are in VBMdiags3),
circuit15_20_1FAULTS_FAULTVERSION3.xlsx,48,658,3,16,16,16,700,224,68,239,68,13894,240,0,0,- (no 3-fault minimal FDMdiags) -,632,0 (632 diagnoses from 632 are in VBMdiags2),632,0 (632 diagnoses from 632 are in VBMdiags2),17040,3146 (13894 diagnoses from 17040 are in VBMdiags3),17280,3386 (13894 diagnoses from 17280 are in VBMdiags3),
circuit15_20_2FAULTS_FAULTVERSION1.xlsx,48,658,3,15,15,15,652,133,52,133,52,13098,3,0,3,0,600,0 (600 diagnoses from 600 are in VBMdiags2),600,0 (600 diagnoses from 600 are in VBMdiags2),14764,1666 (13098 diagnoses from 14764 are in VBMdiags3),14764,1666 (13098 diagnoses from 14764 are in VBMdiags3),
circuit15_20_2FAULTS_FAULTVERSION3.xlsx,48,658,3,0,0,15,31,481,31,136,2,1186,480,0,0,- (no 3-fault minimal FDMdiags) -,-,-,600,571 (29 diagnoses from 600 are in VBMdiags2),14336,13150 (1186 diagnoses from 14336 are in VBMdiags3),14816,13630 (1186 diagnoses from 14816 are in VBMdiags3),
